date,median,lower,upper,observed
2021-05-07,335.0551480686842,251.92529801219314,417.0547195482751,358
2021-05-08,333.6896991951754,248.2551553256449,419.11145812662244,366
2021-05-09,330.96319404339516,247.33849796808622,415.4306004465501,383
2021-05-10,326.8953495611564,244.70181231715804,411.62867429096474,371
2021-05-11,321.59395525056584,238.05530841454262,406.76912569321087,356
2021-05-12,317.89656464695736,232.67122484325415,399.41139687944093,321
2021-05-13,314.16615909990753,231.0940765994733,396.24761425714365,313
2021-05-14,308.2849465569732,223.51374591992405,392.98417953909825,285
2021-05-15,305.1349682032867,219.90698682469196,388.5867272649985,291
2021-05-16,300.39347115914745,216.79769963366982,383.85333766950146,304
2021-05-17,294.8666828916829,212.0652351813818,375.69467786267256,297
2021-05-18,287.9396273002485,204.78012881955308,370.5989360899919,285
2021-05-19,284.2519714219177,201.56301905019697,368.5737833741679,269
2021-05-20,281.9443837256447,199.4818021046253,364.54124916725067,248
2021-05-21,279.13509566870096,195.65503415534596,363.770990517428,227
2021-05-22,277.2966199030302,194.00804624064608,360.3029897163646,235
2021-05-23,271.69907909673304,188.4447487764643,355.61258457567294,251
2021-05-24,267.82783216996256,182.10531633815992,352.4060861929706,247
2021-05-25,262.6793140893163,180.30697431613638,346.22604138546274,222
2021-05-26,257.32257434331166,175.2247331247201,342.4708087053636,218
2021-05-27,252.57196060983185,170.90802932079814,336.07700454810225,215
2021-05-28,248.9605517504558,160.729893757886,334.5383212216401,215
2021-05-29,244.5626672214124,161.8616101841031,327.11582426947916,215
2021-05-30,238.46503599055748,149.784949606507,322.06399084498213,229
2021-05-31,232.92789527952823,148.86728647479782,316.9153088725188,217
2021-06-01,228.54621189810075,149.00597379094384,307.66555063852473,205
2021-06-02,223.32052509947505,139.21113317173752,308.13485633799144,190
2021-06-03,219.47504444593446,133.9722694292151,303.247698988318,180
2021-06-04,216.36128822534772,131.0983430245309,301.80665091755077,180
2021-06-05,213.9878426557708,128.4121151119202,299.73512540535046,180
2021-06-06,208.6272348460717,125.55003318626133,292.85312470685335,184
2021-06-07,204.92783864591706,119.81748821204069,291.07980765282076,166
2021-06-08,199.90387676544924,115.91010943490329,284.79371075472545,155
2021-06-09,193.45553475444626,107.39174407171933,277.7179205904958,161
2021-06-10,188.3767826214966,105.29732774713835,270.1637194382871,140
2021-06-11,184.33318601285862,102.86277367486126,268.07799598355103,140
2021-06-12,181.00527292719516,96.48455756777007,266.1906421148191,140
2021-06-13,174.6594877633337,88.45592027228601,258.2789707972337,132
2021-06-14,171.5278755251983,86.61248884765159,254.37282300038805,110
2021-06-15,165.88910545940462,81.66457733841285,250.36872695337078,106
2021-06-16,162.34044972357754,77.67003048097057,246.285697449981,105
2021-06-17,157.97914275223098,75.56217340450803,244.26087900155133,103
2021-06-18,153.24413441885685,71.5712612500407,237.95599213160526,103
2021-06-19,151.85166528351937,67.20805636446978,233.04241091404717,103
2021-06-20,147.77314745066695,60.790452221871824,231.1177495036451,97
2021-06-21,146.0310939830057,60.3781576361451,227.3866795002312,81
2021-06-22,141.992945244101,54.12085831747957,225.51150676426718,81
2021-06-23,139.11675012245283,57.03854478131357,223.8962646817991,83
2021-06-24,137.3577121624777,51.11308788233188,221.62627280017094,74
2021-06-25,136.5367146805603,51.875240282116074,219.53058958797914,74
2021-06-26,133.24033175911904,50.78724369036001,217.39276145240785,74
2021-06-27,132.8145196075984,49.64266349312682,217.57109909059636,75
